codigo curso,Código da IES,Sigla da IES,Nome da IES,Categoria Administrativa,Organização Acadêmica,Situaçao da IES,Sinalização da IES,Código do Curso,Nome do Curso,Grau,Modalidade,Situação do Curso,Qt. Vagas Autorizadas,Carga Horária,Tipo de Periodicidade,Integralização - Turno Integral,Quantitativo de Vagas - Integral,Integralização - Turno Matutino,Quantitativo de Vagas - Matutino,Integralização - Turno Vespertino,Quantitativo de Vagas - Vespertino,Integralização - Turno Noturno,Quantitativo de Vagas - Noturno,Sinalização do Curso,Código do Endereço,Nome do Campus,Endereço,Número Endereço,Complemento,Bairro,Código do Município,Município,UF,Início Funcionamento,Data Ato de Criação,Valor CC,Ano CC,CPC Faixa,CPC Contínuo,CPC Ano,Valor IDD,IDD Ano,Valor ENADE,ENADE Ano,Código Rótulo CINE,Rótulo CINE,Código Área Detalhada CINE,Área Detalhada CINE,Código Área Específica CINE,Área Específica CINE,Código Área Geral CINE,Área Geral CINE
3,322,UNIP,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,Universidade,Ativa,,1156010,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,460,3600,Semestral,,,10.0 Semestres,230,,,10.0 Semestres,230,,2639,Campus III - Anchieta,Rua Francisco Bautista,300,Km 12 da Rodovia Anchieta,Jardim Santa Cruz,3550308,São Paulo,SP,40227,,,,0,,2019,0,2019,0,2019,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,203,USJT,UNIVERSIDADE SÃO JUDAS TADEU,Privada com fins lucrativos,Universidade,Ativa,,1420141,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,180,3780,Semestral,,,10.00 Semestres,90,,,10.00 Semestres,90,,1082211,Paulista,Avenida Angélica,2563,Paulista,Bela Vista,3550308,São Paulo,SP,43132,42964,,,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,203,USJT,UNIVERSIDADE SÃO JUDAS TADEU,Privada com fins lucrativos,Universidade,Ativa,,1420119,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,180,3600,Semestral,,,10.00 Semestres,90,,,10.00 Semestres,90,,1082210,Unidade Santo Amaro,Av. Alexandre Dumas,2016,Unidade Santo Amaro,Chácara Santo Antônio (Zona Sul),3550308,São Paulo,SP,44272,42964,,,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,55,USP,UNIVERSIDADE DE SÃO PAULO,Pública Estadual,Universidade,Ativa,,1327394,ENGENHARIA DE COMPUTAçãO - ÊNFASE SISTEMAS CORPORATIVOS,Bacharelado,Educação Presencial,Em atividade,1,6690,Quadrimestral,15.0 Quadrimestres,1,,,,,,,,1075920,Escola Politécnica - EP,Avenida Professor Luciano Gualberto,380,Travessa 03 (Escola Politécnica),Butantã,3550308,São Paulo,SP,41640,41457,,,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,1294,CAM,Centro Universitário das Américas,Privada com fins lucrativos,Centro Universitário,Ativa,,1204397,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,320,4440,Semestral,,,10.00 Semestres,160,,,10.00 Semestres,160,,1055967,Rua Augusta,Rua Augusta,1520,1508 a,Consolação,3550308,São Paulo,SP,42772,42569,4,2016,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,20586,FVG,Faculdade Van Gogh,Privada com fins lucrativos,Faculdade,Ativa,,1331192,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,80,4000,Semestral,,,,,10.00 semestres,40,10.00 Semestres,40,,1112308,FVG,Rua Bento Quirino,467,FVG,Vila Talarico,3550308,São Paulo,SP,43682,43430,4,2017,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,1365,UNASP,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,Privada sem fins lucrativos,Centro Universitário,Ativa,,1285157,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,120,3980,Semestral,,,10.0 Semestres,60,,,10.0 Semestres,60,,658431,UNASP Campus São Paulo,Estrada de Itapecerica,5859,,Jardim IAE,3550308,São Paulo,SP,42410,41942,,,,,,,,,,6160,Engenharia de computação (DCN Computação),616,Desenvolvimento de sistemas que integram software e hardware,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
3,376,,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,Privada com fins lucrativos,Centro Universitário,Ativa,,1403866,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em extinção,100,3600,Semestral,,,10.00 Semestres,50,,,10.00 Semestres,50,,1068088,Belenzinho,Rua Siqueira Bueno,929,- de 441/442 a 1398/1399,Belenzinho,3550308,São Paulo,SP,43157,42887,,,,,,,,,,6160,Engenharia de computação (DCN Computação),616,Desenvolvimento de sistemas que integram software e hardware,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
3,1161,,INSPER INSTITUTO DE ENSINO E PESQUISA,Privada sem fins lucrativos,Faculdade,Ativa,,1257963,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,100,4130,Semestral,10.0 Semestres,100,,,,,,,,658295,Unidade SEDE,Rua Quatá,300,,Vila Olímpia,3550308,São Paulo,SP,42058,41955,5,2019,4,337,2019,3,2019,4,2019,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,793,ESTÁCIO SÃO PAULO,Centro Universitário Estácio de São Paulo,Privada com fins lucrativos,Centro Universitário,Ativa,,108028,ENGENHARIA DA COMPUTAÇÃO,Bacharelado,Educação Presencial,Extinto,450,3600,Semestral,,,10.0 Semestres,150,,,10.0 Semestres,300,,1437,JABAQUARA,Avenida Jabaquara,1870,,Saúde,3550308,São Paulo,SP,40211,39349,,,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,161,UNIFAI,CENTRO UNIVERSITÁRIO ASSUNÇÃO,Privada sem fins lucrativos,Centro Universitário,Ativa,,54367,ENGENHARIA DA COMPUTAÇÃO,Bacharelado,Educação Presencial,Extinto,120,4520,Semestral,,,10.0 Semestres,60,,,10.0 Semestres,60,Em Desativação/Extinção voluntária,1004173,Vila Mariana,Rua Afonso Celso,671/711,- de 631/632 a 1029/1030,Vila Mariana,3550308,São Paulo,SP,36934,36804,,,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,793,ESTÁCIO SÃO PAULO,Centro Universitário Estácio de São Paulo,Privada com fins lucrativos,Centro Universitário,Ativa,,108036,ENGENHARIA DA COMPUTAÇÃO,Bacharelado,Educação Presencial,Extinto,450,3600,Semestral,,,10.0 Semestres,150,,,10.0 Semestres,300,,24332,VILA DOS REMÉDIOS,Avenida dos Remédios,810,,Vila dos Remédios,3550308,São Paulo,SP,40211,39349,,,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,1853,,Centro Universitário UNIBTA,Privada com fins lucrativos,Centro Universitário,Ativa,,1102216,ENGENHARIA DA COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,100,4160,Semestral,,,,,,,10.00 Semestres,100,,1082239,Centro Universitário UNIBTA,Rua Cubatão,726,Centro Universitário UNIBTA,Vila Mariana,3550308,São Paulo,SP,40161,40161,3,2015,0,,2019,0,2019,0,2019,6160,Engenharia de computação (DCN Computação),616,Desenvolvimento de sistemas que integram software e hardware,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
3,793,ESTÁCIO SÃO PAULO,Centro Universitário Estácio de São Paulo,Privada com fins lucrativos,Centro Universitário,Ativa,,108020,ENGENHARIA DA COMPUTAÇÃO,Bacharelado,Educação Presencial,Extinto,200,3600,Semestral,,,,,,,10.0 Semestres,200,,658105,SANTO AMARO,Rua Promotor Gabriel Netuzzi Perez,108,SANTO AMARO,Santo Amaro,3550308,São Paulo,SP,40211,39349,,,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
